cph,extra_column,easting,northing,holding_type,herd_size,whatever
79/962/3571,289.0611628,436801,932101,DCVMX,3353,6757
61/109/8440,176.6238158,954552,196452,WVJAN,3354,1769
56/160/6828,62.45552547,422920,509724,OZPYJ,3361,5230
39/579/6870,449.4100561,300930,484761,RKPWM,3383,6922
39/103/5541,316.4170527,745389,667243,JJAWD,3415,9354
53/544/5452,101.0459368,471206,95301,SPOCD,3469,7419
44/417/1954,172.1307089,113333,999679,WGPUV,3472,1189
70/736/7684,379.0212664,266965,254536,PRMWB,3480,6668
49/367/5777,2.015012564,842479,673631,HSXLG,3497,5557
27/193/6339,20.76619198,21082,757137,NOTTU,3505,8252
38/177/6758,201.2667203,570725,422540,KBQYB,3526,8051
54/504/3274,312.6974519,272088,531601,XQIIM,3560,5310
33/397/6002,141.0613091,263500,106607,GLNIR,3567,2435
71/939/3228,457.0239674,200573,381642,KFOUM,3574,9543
58/308/6720,14.09152801,705038,526766,PDSPJ,3597,4799
24/942/9396,243.0333479,347077,465896,KPYNU,3644,8063
12/927/6771,467.8870714,979000,196725,PGXGF,3646,7063
77/112/3288,218.1664648,283351,858317,JPOXU,3652,4718
89/635/3615,3.296755071,757819,842466,OFECL,3653,1158
78/456/5283,286.7553566,578605,906579,XTABL,3657,7667
82/917/2267,178.338227,483816,665274,ARNSS,3664,4478
64/400/9543,226.9699239,945469,194452,XNGWY,3679,4439
26/667/8379,88.96442062,152369,948510,NFOLN,3691,7055
33/695/2039,472.8997876,537579,809288,WEWEO,3696,7125
29/344/9849,409.4022108,536390,432705,TTWEZ,3727,5843
84/830/7382,76.65647593,229524,92968,NIXZD,3803,8926
97/665/7174,339.957499,506111,349952,CYCZH,3818,3835
90/757/7844,457.5515834,564149,912816,RNPBN,3829,4838
88/242/8124,384.4787272,307350,449737,PEHNB,3856,7340
48/172/3400,280.3322953,431871,130072,JZYCL,3866,7941
77/571/9690,114.1880115,664390,765337,XXLZD,3924,6775
29/943/4823,487.5676207,829589,683003,OXJYQ,3928,1510
40/272/2914,304.9475407,593766,781977,VAFRW,3955,3223
99/824/8868,399.7578563,146997,560641,ERZOY,3974,8073
34/522/7120,139.0441751,259364,602623,XBDQK,3999,4074
28/694/3069,413.2494758,855372,646556,KJLWC,4000,1305
10/932/5901,486.4896325,612451,746945,CYBQV,4031,1030
59/623/8252,178.3746367,979181,376789,BKBDY,4034,2349
65/677/5271,123.4161104,271355,276022,FWZRD,4052,298
40/506/4101,245.9648619,682366,921112,UFKNU,4057,1250
10/533/5657,50.37604366,407735,690168,WEHFX,4141,6391
43/601/7059,11.53240643,959103,633247,FDDRB,4148,4825
64/636/8614,256.083422,453082,969771,RSONK,4150,4873
62/404/6205,152.1470365,458672,822876,NBJYK,4247,822
47/396/4417,244.0557255,581307,924547,LPEUX,4269,7345
57/418/6011,199.4837963,549581,663049,NHLCL,4295,6939
57/427/5455,453.0428525,989499,112262,YJYSH,4303,5141
13/506/7551,395.7295411,715208,924742,COZQW,4313,8654
62/949/9610,268.0377822,82131,335877,FQIFD,4338,9172
27/827/8213,299.4709524,493769,971611,MTURZ,4352,5236
14/459/4224,462.9427922,880410,859585,SVNEN,4410,4501
32/307/1166,51.97135586,407450,559054,XNPFO,4438,874
68/891/6323,14.8077902,852030,224988,LTAYJ,4441,2815
46/681/2814,464.8556771,690036,324007,JMGSO,4455,7521
28/864/7183,172.8905442,963185,802102,YBNNM,4485,7320
77/458/3246,231.6975586,771361,791872,JUQHX,4493,7174
85/466/6078,338.5566301,451331,722871,QJNKU,4494,5347
47/924/7415,272.0340466,905030,949381,CFLGX,4542,6419
49/940/1336,50.617156,157439,658436,EPHKI,4548,162
27/655/4098,494.4214851,433546,520541,CDRAW,4556,2670
94/894/9210,253.6616982,960724,708437,LUTQY,4571,8567
71/736/3034,230.0099441,605345,484450,GTSEU,4576,368
77/693/5635,490.2591871,749717,375512,BZFTA,4578,2198
39/245/3824,431.4889525,30660,290751,BCAFI,4614,1226
12/427/8549,101.2238401,815347,861288,IWHJK,4615,830
19/388/5377,233.0766394,333256,665457,NBURX,4627,8372
73/306/6527,227.2726636,776224,489862,PQCUK,4656,8980
64/876/3540,459.4030559,33141,266341,IMFWM,4667,9421
54/804/7710,113.8116693,311132,865244,GDWHG,4676,8506
88/772/3955,283.9030348,637860,856948,TLMFU,4690,3728
24/835/1047,90.59916829,180883,435125,EUJJH,4707,5240
21/733/9411,57.80554921,566191,859102,XBZWF,4731,9073
59/582/7526,396.9943837,132975,50578,KNWFR,4758,3967
56/606/9225,78.63874569,127727,827879,CEWQQ,4786,6243
52/884/1995,440.8658872,270516,151798,IPWTD,4838,7324
79/947/9532,462.3464787,518376,899665,WAGHV,4867,1504
94/163/2896,17.27824682,711567,363093,WJJAZ,4877,7871
64/414/8990,375.1296578,669205,53558,DNMJM,4883,6113
21/199/3081,24.39188767,241345,727064,QUJRT,4898,5739
58/152/5868,80.78831699,100735,983245,ACIMC,4901,9081
47/479/9810,92.71250353,210071,317677,DFYWQ,4924,7509
55/132/4970,224.5182906,118780,52014,LGLMC,4924,9945
89/546/3297,128.7651468,152236,913378,VKBMB,4928,6448
28/899/6934,249.317841,59169,413924,DZGSV,4964,1162
36/349/4938,289.3233707,69994,125618,FFGHP,4965,4369
40/877/8759,284.4043295,458929,935829,TZDLE,4980,5119
84/613/2906,347.8247642,562638,88395,LRGDX,4981,3067
86/867/7476,205.7904987,970529,728243,WANDH,4986,1295
37/863/9807,435.957612,837265,401632,XXYRO,4989,8726
67/614/9729,139.6354663,221660,14841,XOXAF,5001,2672
95/903/2776,491.2828986,878202,295060,USPQV,5002,2405
91/238/4716,254.4618647,745585,961111,FHJOG,5008,5893
21/771/7140,168.7849743,904110,444688,TEUHO,5029,3091
46/782/4470,163.440165,511932,522760,HLUSY,5057,5568
94/329/8442,430.0613023,398022,839387,WWRZE,5111,6062
82/192/1124,154.5786164,384166,838667,BNIDI,5132,5192
37/243/5851,369.6038215,86643,33689,KBHNZ,5197,2966
16/339/6975,4.996293661,366210,380587,NENYG,5199,3264
30/474/7569,420.0664095,64505,838950,NSOGJ,5204,590
48/368/5275,498.9280297,745627,737426,CKTHW,5214,5149
61/788/8007,308.3244837,686640,621496,EJPAJ,5220,1546
21/648/8446,214.4607479,725936,319842,LVLEH,5221,7796
69/924/6597,73.81657239,570429,282440,AZUQK,5227,3304
73/922/4238,239.6076929,478688,685550,IEJYH,5240,4291
33/713/1793,238.4673593,800210,273962,KQWNY,5244,3117
19/818/9098,335.5761818,849439,616081,WBWUE,5261,4253
90/141/2050,155.9820093,750910,559254,JUDUB,5274,2056
38/477/1054,223.2497624,180152,752954,HWAEI,5296,9490
36/308/8021,359.6363468,575674,518620,HZWEX,5313,343
10/956/6375,430.8680806,224159,526638,ZHQNI,5331,6347
22/770/5182,4.229502809,342775,607070,CLVLW,5341,7392
30/608/9795,271.7208305,624198,720560,GSMDX,5366,8285
25/865/4932,469.2108629,561024,47647,XLDAK,5377,2647
10/899/1847,17.45960096,670918,792511,RHICS,5430,8613
52/216/2149,440.8878377,823669,287590,PUBBU,5468,3637
45/864/8651,136.8559031,947875,352430,GNXJO,5499,9864
90/533/9566,135.9220225,501428,151690,QBXDD,5515,8851
95/662/8709,388.4499357,230611,765426,JEQZM,5520,2432
12/386/2747,180.7466229,530961,852780,YLRCO,5534,6302
80/740/6438,460.1490018,660596,241438,WHABN,5538,5136
68/366/6490,76.08927693,522039,537042,KHLDF,5540,1764
71/576/8674,283.1830527,22495,335112,XLULO,5560,3517
19/127/8202,310.0371722,323719,274936,GPOQJ,5588,3584
46/164/3992,240.2940289,946659,811101,ICPEL,5597,5124
66/924/2125,368.643195,519284,656873,CAZJS,5611,2395
29/433/3234,311.2500066,577493,477516,PEHZJ,5638,2331
43/421/8516,432.0712395,32088,236969,LZQTF,5677,505
79/146/5527,42.12126425,463120,823696,LOHWE,5677,4700
68/369/4414,52.06221259,773191,436371,QVSCC,5686,5995
53/821/8190,282.7890028,206540,312854,BSJSS,5691,4173
75/394/5680,391.0423555,473699,132753,WGWLL,5700,2938
88/816/6821,262.0837619,103412,115467,BVAGH,5710,6716
14/493/9281,312.3245325,466848,832934,XHDVC,5718,6685
97/702/1863,245.5217202,408410,489644,XSUVU,5758,1324
19/470/5445,487.1196785,957569,129120,UAFPT,5773,7657
75/929/3476,164.8622577,610592,872391,THRXE,5781,2389
75/543/1182,104.9442352,72703,368200,RIWPL,5801,5300
41/788/6464,202.1638717,78594,563627,CNUIF,5816,3605
17/454/1844,327.3628553,100727,462782,CEGFL,5853,7805
64/251/8178,246.5526349,576432,278304,UNEDV,5855,7835
55/158/7835,376.5033334,134702,669512,IMGUI,5860,8969
27/664/8542,68.6600122,501382,218129,YNPTP,5900,9351
38/942/4988,445.4267914,935666,670832,PUTIB,5924,1463
71/542/7150,13.35382768,749194,797194,AKWWM,5944,6956
90/599/4706,79.35252059,309325,699630,QUYTC,5947,529
96/383/3163,18.57797205,531033,67956,LRXVO,5947,3247
35/429/8304,133.306125,155568,836238,VYNZG,5980,8019
52/672/6036,493.0738703,717754,565923,REYUM,5984,4699
80/728/6273,140.2942414,464924,339092,HYJTC,6007,2047
71/107/6282,465.0286354,470411,597824,CCSLC,6037,1110
29/809/9045,119.3650337,119124,912027,RTAXT,6054,606
99/748/3710,365.3419666,365790,421940,SLGAK,6061,7584
24/630/2808,352.8199299,905573,494750,SZLGF,6091,6069
66/569/6625,308.8059863,579308,30919,RLTZH,6125,595
29/911/4003,13.07752038,925977,963088,NPIKT,6132,2986
90/335/6072,47.69148796,283168,310158,NAAIO,6132,5453
76/726/9972,210.9573191,565345,612298,TNHCQ,6175,4278
11/996/6937,479.3720857,860424,608418,ROEYA,6179,6818
87/142/7578,134.5666741,642892,997969,KPAQR,6193,961
28/633/7360,264.1394225,551489,69957,DDEOP,6229,3770
67/787/7308,472.2836215,530375,364138,RIXZK,6241,8341
67/158/5432,475.5038318,308798,420529,SGCOR,6264,901
81/736/4987,208.6622521,585948,69172,JNYLD,6318,8329
44/372/4337,370.3124276,432235,13878,PUCYU,6330,4515
31/702/1754,109.5293918,561201,498317,HEZLX,6340,2197
68/796/1039,163.6573904,758009,636832,UBJYL,6385,2888
78/954/6330,453.0803969,477078,808736,NUEHU,6416,1247
15/957/8528,306.7028676,932537,398168,NVWSB,6418,7816
66/935/1129,308.7529156,654556,411703,RFCND,6420,4035
26/196/6229,291.4284562,773698,100860,ZHSFD,6431,1912
10/161/7572,456.0593384,410894,785298,ILSNQ,6449,1540
19/985/3462,114.5084829,64409,646473,BMQPS,6451,1120
91/402/6895,471.4058793,48634,811381,DLTBQ,6456,607
28/452/4214,4.462390837,292800,820449,VATVS,6458,5228
31/585/6792,438.2371599,715511,855477,DCZDN,6501,2560
92/593/8675,483.8819138,887761,382955,XHUBA,6519,7897
52/577/5349,308.3627303,908155,757119,QJTFY,6520,5820
48/271/1338,264.1110144,840140,338379,MLBDF,6522,669
95/435/2021,119.6182962,492382,895196,YPBAM,6536,847
68/763/2008,160.2013191,715630,265145,SVYNH,6577,5330
84/284/3982,6.941915833,183765,90108,TKZMY,6595,5996
17/903/9116,456.8190146,376026,723775,KKALL,6611,373
23/282/2424,224.8288322,542407,320984,QAHTN,6617,1423
85/924/4672,139.2545922,86355,927519,AEYAL,6626,4455
70/349/7951,251.3372072,589467,228244,ITQWO,6655,7438
90/698/8684,170.9207949,66728,747917,TMJQM,6681,3455
17/377/9957,258.3443261,380986,408625,XIRHU,6716,3485
90/252/6096,334.6675433,91714,724571,QNPHL,6762,1397
57/961/5592,280.7822184,205813,212471,AOAST,6810,9196
59/776/4403,92.59128413,533164,151789,XTZGL,6843,3519
50/327/4143,103.0657564,437295,349526,MGVWE,6892,5840
40/832/7521,90.26581416,357388,197562,HVTRY,6931,4128
11/977/2103,55.24401253,627291,592146,SJZMJ,6932,9089
31/935/7645,106.3852669,146802,148832,NIFDV,6939,2525
45/654/1703,21.7057626,796238,634760,EYZYM,6955,9136
37/499/1759,117.8979915,549611,407284,BULJD,6985,5740
30/995/4217,227.4592405,776094,188289,IGLHE,7006,3625
51/634/2655,19.93696883,367251,894194,TXAZK,7034,4736
57/923/3360,32.49460028,136586,410647,ETDWL,7037,8150
60/351/1398,491.1928633,624582,972287,DWGBE,7093,4569
97/186/9761,335.9925631,33326,408650,SNSTM,7101,6013
23/347/2906,145.5266317,718095,924461,BOJVS,7120,3832
74/624/4961,392.1149322,503610,45412,MPYUZ,7129,4567
73/391/6823,274.1051559,404033,727785,NQNYN,7138,3085
46/228/9554,399.9440381,497226,671526,MJXFB,7143,8842
69/393/9398,219.463776,809452,467700,XXDLM,7151,5618
11/895/7288,115.8051819,771196,71467,MIYUS,7210,761
66/218/8559,23.37991026,781872,12287,KCVBY,7218,4430
68/557/2428,28.90923704,164526,941161,JGWQA,7252,5451
32/688/4443,116.2683781,770919,906688,YTHEA,7260,4336
14/414/7089,124.1949599,963381,677153,LASVT,7278,929
62/462/9360,458.268618,381132,985253,PKGKB,7285,2825
10/260/2949,422.8592728,343951,228842,UGOJL,7286,1794
29/275/7573,152.5517897,838264,533542,ACIEK,7301,1893
47/232/6124,455.7061611,744370,860683,LRRHU,7342,4977
58/415/5401,446.3790206,543128,277985,FTVKM,7343,2185
50/135/8258,301.152107,44227,415422,KMESQ,7430,8060
40/910/1916,179.7958401,591856,726895,ULGKJ,7452,3065
21/652/3260,56.08230573,716077,995079,MRAMJ,7512,3329
65/105/6250,408.7395198,551706,999474,QNPXW,7537,5365
20/615/3347,77.46312246,163054,201582,PCNTG,7564,2400
88/694/2628,190.7718666,106291,355908,DLSNJ,7584,602
68/642/7050,91.45371565,425812,44386,CIRPB,7590,5110
21/213/4958,315.207805,877497,554270,NZOQV,7603,9374
96/999/4677,135.5335638,968617,775484,UJZMZ,7665,3488
31/184/2470,221.0707064,782180,777250,WRXGE,7691,1271
47/946/7562,253.3428021,53353,795395,KEOSG,7703,8303
28/904/8338,189.212948,845294,53345,SWNHD,7707,4643
48/401/7182,24.61071415,308744,120814,WXRND,7742,3665
83/155/8655,427.4062743,720957,446095,BCADV,7790,9039
13/996/5427,424.7670586,818538,947973,CRDOL,7816,2085
78/230/1361,369.01944,993397,105759,ANADI,7824,3129
15/482/8366,154.4901714,395948,977060,ADXLS,7827,4144
21/302/1233,15.5121708,685081,792093,ZEBUH,7872,468
78/232/1254,236.3735837,879532,681990,CDDUO,7875,4409
39/277/9955,210.3895325,545712,255092,MTZJU,7883,7202
20/744/9188,79.01517574,187577,847880,GEJHZ,7891,9759
82/978/9782,277.2980127,551366,351393,RIEAL,7897,5871
24/372/9381,250.1271671,266619,542338,VOJHS,7930,2432
95/502/4727,111.0612492,320990,746723,JPDDT,7935,423
68/727/2028,343.9316405,684136,780448,IUUHL,7948,5757
98/756/1868,70.13904109,637028,233758,IDDXC,7978,7704
92/837/4708,134.1448858,52738,206846,JZQNA,7982,2369
82/959/9453,461.9125247,875734,818405,CCHAP,7999,8181
10/762/3609,15.22271231,734899,398868,MPCWJ,8075,4112
64/745/9830,178.0347286,693987,762560,QBAQW,8076,9126
81/183/6253,58.53096426,154489,542065,WRPRD,8083,129
41/119/3644,276.385834,471287,338983,WFFKH,8094,548
21/456/1944,132.9957592,966291,349695,MURQX,8116,6606
40/955/1066,162.0533153,653711,41680,CRCHL,8117,1975
31/473/4857,131.1074713,221462,399385,PAYVV,8127,9187
50/299/5237,277.3246477,507095,839634,LYPUV,8148,8786
55/521/8540,236.6193935,326114,530,IZOQY,8175,9041
17/219/5051,481.0881925,181297,398517,BUOXZ,8181,6750
23/601/4337,108.0486544,603000,16636,LASEI,8190,2850
79/343/7034,461.0844273,521411,702521,NPNFX,8193,1056
13/399/8426,133.6270461,402950,835472,KOWJW,8224,1573
39/309/4399,10.26019039,902414,352900,DPYPP,8231,6364
92/791/5566,214.73479,518485,251438,ODRZJ,8231,8192
11/527/1030,436.4788754,298443,58708,HMYTD,8240,3718
67/729/1849,15.20283361,504590,825818,WMYHL,8241,2349
64/388/9121,278.0097609,460757,667973,BKHUY,8258,9822
34/467/9102,12.8216486,608877,591378,VEGBI,8260,1976
95/383/5454,345.4454952,61680,938208,MIIBQ,8272,9265
37/804/4098,166.1798329,650695,418097,VRIDG,8298,6455
22/378/7682,380.9833084,645837,446757,GJSTZ,8330,1520
90/829/4001,262.5434657,287177,174846,SWLDV,8331,9391
60/270/9882,204.3499314,951664,612273,AOUCU,8337,2239
50/311/4527,233.5395503,27353,854451,CKUVU,8365,3321
66/693/1188,444.12453,409256,863271,BVTII,8374,2511
92/619/8429,236.0578165,22039,272053,NPMWM,8383,6382
51/383/2517,242.2955407,763032,487642,QPLMP,8385,9976
28/732/9624,227.5592863,202931,168149,GDEAJ,8393,7000
27/468/2072,24.47952784,425029,734947,KPOWR,8428,8374
20/455/1511,123.9579512,195232,384089,CZEZJ,8451,7697
33/797/1580,472.4939956,123230,946293,IYLYM,8462,1012
54/161/9959,64.37247646,368999,326224,EKKZE,8469,9549
26/750/9771,205.4449468,609832,479932,VJBAM,8532,1759
86/828/1484,237.0243032,726759,162839,DYLJX,8543,3128
13/213/4477,354.6496619,525066,841792,VPXNZ,8596,7516
27/107/2991,413.0075107,432382,265955,NXQAQ,8617,7069
51/515/8816,2.39998294,968588,628805,DLWJX,8637,2270
10/610/5301,480.6228641,169519,157591,TZGPD,8644,9039
41/891/3641,76.16430164,157505,201751,EKDFK,8645,5256
40/912/1525,100.4574853,528270,850892,TJUPE,8692,5001
15/442/6278,421.2855531,348195,80958,NCTGV,8695,3589
46/302/9692,99.53712295,908080,284538,ZKWVI,8732,6350
56/344/7278,312.9562216,819732,145895,AZTSW,8732,8314
13/282/1763,231.1763716,103765,802002,CMNWW,8755,2469
48/693/2905,214.9207305,398123,517392,WTFIY,8797,7505
85/459/8371,489.5022782,308210,798752,JJIKK,8802,4831
50/651/8553,344.2408876,168560,406691,MNRFB,8826,337
21/552/8430,474.9404445,167007,256368,LOFMB,8836,4218
51/394/2823,391.5661648,729896,431043,MYPFN,8837,889
17/420/2051,439.5477444,651127,9849,WHGZJ,8900,6272
81/272/4182,223.66136,697249,376111,CXFKL,8904,3264
57/373/1691,393.5915262,209366,49614,CTUIJ,8923,591
85/507/6791,35.14858139,263927,768051,UVCCH,8929,2273
81/280/5596,159.3443333,657421,133577,QIOVA,8950,4875
57/190/1315,485.5496254,29883,492098,EWIWA,8986,5151
32/560/2297,56.60072709,664593,723124,BTKIA,8991,7094
59/980/5898,313.041365,296047,618952,CICOE,8995,4617
67/228/5119,211.0469001,582737,798682,LPSAI,9045,9649
12/435/4034,267.8173704,227051,139453,JUPAW,9056,2083
92/486/9601,434.7415576,389175,776514,OTUOJ,9059,8369
18/646/3737,148.9504332,62295,984856,QAXVR,9062,3479
95/680/1007,435.2746394,633943,151448,QQLZR,9100,9167
97/645/4946,273.1134731,656615,32428,IXMEG,9102,3428
12/878/4958,34.86722099,662871,755665,HQFMN,9109,903
19/194/4322,403.6286743,186791,199264,QMLEU,9140,4222
